No,ID Ciri Pengujian,Ciri 1,Ciri 2,Ciri 3,Ciri 4,Ciri 5,Ciri 6,Ciri 7,Kelas Terklasifikasi
1,113,0.0007752348506367,2.1338882620044e-09,8.003902239986e-13,1.982532313942e-12,-2.4936863415617e-24,-9.074632869323e-17,-1.3542401859518e-25,sedih,
2,114,0.0007534092349231,6.910843340185e-10,4.908978523867e-13,1.4026826261615e-12,-4.0762668587175e-25,-3.148923865683e-17,-1.0902395993403e-24,sedih,
3,118,0.0006730605462377,1.0614700914701e-10,7.566869960608e-14,6.651097564303e-14,3.820757893628e-27,-6.370851033081e-19,2.768655259291e-27,sedih,
4,119,0.0007740091387009,2.4917824727955e-09,1.721158213742e-12,4.416605361054e-13,1.3231311905274e-25,-1.3348342111865e-17,3.6162771603071e-25,sedih,
5,120,0.0007132476829309,1.819017402534e-09,1.1403867522527e-12,5.976892105338e-13,-4.798850025368e-25,-2.5488970570012e-17,1.148862935501e-25,sedih,
6,123,0.0009046895690673,6.733898322933e-08,2.740452104841e-11,1.1217713514244e-11,-1.909332930168e-22,-2.902780168066e-15,4.721040977847e-23,sedih,
7,124,0.000810473142793,3.806389559568e-09,1.0337633957944e-11,1.1098336734204e-12,-2.819725246466e-24,-6.527998624086e-17,-2.486134278339e-24,sedih,
8,127,0.0007308133957099,4.3274560814177e-11,2.274355196216e-12,1.1294388244022e-13,5.72295592542e-26,2.5417197524226e-19,-1.2454292195813e-27,sedih,
9,128,0.0009036440880781,4.198130695821e-10,7.048539116978e-12,1.495842891204e-11,6.081367466507e-23,-2.2836607341305e-16,1.410435348007e-22,sedih,
10,131,0.0008402137701685,7.953940121e-09,3.282295974365e-11,3.4222791754157e-13,1.3805530191656e-25,-1.3573965771275e-17,1.138657664164e-24,sedih,
11,132,0.0009592950218446,1.4620421346268e-07,1.645455917291e-11,7.47071230721e-14,6.36328240144e-26,2.5863000804309e-17,-5.302475533076e-26,sedih,
