No,ID Ciri Kode Sendiri,ID Ciri OpenCV,ID File,Target,Hasil Kode Sendiri,Hasil OpenCV,Akurasi Kode Sendiri,Akurasi OpenCV
1,"[16387, 16388]","[16389, 16390]",1,"{'WT': 2, 'B': 1, 'N': 1}","{'WS': 2, 'B': 1}","{'WO': 2, 'B': 1}","{'WS': 100.0, 'B': 100.0, 'N': 0}","{'WO': 100.0, 'B': 100.0, 'N': 0}"
2,"[16391, 16392, 16393]","[16394, 16395, 16396]",2,"{'WT': 3, 'S': 3}",{'WS': 3},{'WO': 3},{'WS': 100.0},"{'WO': 100.0, 'S': 0}"
3,"[16397, 16398]","[16399, 16400]",3,"{'WT': 2, 'S': 2}","{'WS': 2, 'S': 1}","{'WO': 2, 'S': 2}","{'WS': 100.0, 'S': 50.0}","{'WO': 100.0, 'S': 100.0}"
4,"[16401, 16402]","[16403, 16404]",4,"{'WT': 2, 'N': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'N': 0}","{'WO': 100.0, 'N': 0}"
5,"[16405, 16406]","[16407, 16408]",5,"{'WT': 2, 'T': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'T': 0}","{'WO': 100.0, 'T': 0}"
6,"[16409, 16410]","[16411, 16412]",6,"{'WT': 2, 'K': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'K': 0}","{'WO': 100.0, 'K': 0}"
7,"[16413, 16414, 16415, 16416]","[16417, 16418, 16419, 16420]",7,"{'WT': 4, 'M': 4}",{'WS': 4},{'WO': 4},"{'WS': 100.0, 'M': 0}","{'WO': 100.0, 'M': 0}"
8,"[16421, 16422]","[16423, 16424]",9,"{'WT': 2, 'M': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'M': 0}","{'WO': 100.0, 'M': 0}"
9,"[16425, 16426, 16427]","[16428, 16429, 16430]",10,"{'WT': 3, 'B': 3}","{'WS': 3, 'B': 2}","{'WO': 3, 'B': 2}","{'WS': 100.0, 'B': 66.66666666666666}","{'WO': 100.0, 'B': 66.66666666666666}"
10,"[16431, 16432, 16433]","[16434, 16435, 16436]",11,"{'WT': 3, 'B': 3}","{'WS': 3, 'B': 1}","{'WO': 3, 'B': 2}","{'WS': 100.0, 'B': 33.33333333333333}","{'WO': 100.0, 'B': 66.66666666666666}"
11,"[16437, 16438, 16439, 16440]","[16441, 16442, 16443, 16444]",12,"{'WT': 4, 'N': 4}",{'WS': 4},{'WO': 4},"{'WS': 100.0, 'N': 0}","{'WO': 100.0, 'N': 0}"
12,"[16445, 16446, 16447, 16448, 16449, 16450, 16451]","[16452, 16453, 16454, 16455, 16456, 16457, 16458]",13,"{'WT': 7, 'N': 7}",{'WS': 7},{'WO': 7},"{'WS': 100.0, 'N': 0}","{'WO': 100.0, 'N': 0}"
13,"[16459, 16460, 16461, 16462, 16463, 16464]","[16465, 16466, 16467, 16468, 16469, 16470]",14,"{'WT': 6, 'N': 6}",{'WS': 6},{'WO': 6},"{'WS': 100.0, 'N': 0}","{'WO': 100.0, 'N': 0}"
14,"[16471, 16472, 16473, 16474]","[16475, 16476, 16477, 16478]",15,"{'WT': 4, 'N': 4}",{'WS': 4},{'WO': 4},"{'WS': 100.0, 'N': 0}","{'WO': 100.0, 'N': 0}"
15,"[16479, 16480, 16481, 16482, 16483, 16484]","[16485, 16486, 16487, 16488, 16489, 16490]",16,"{'WT': 7, 'N': 7}",{'WS': 6},{'WO': 6},"{'WS': 85.71428571428571, 'N': 0}","{'WO': 85.71428571428571, 'N': 0}"
16,"[16491, 16492, 16493, 16494, 16495]","[16496, 16497, 16498, 16499, 16500]",17,"{'WT': 5, 'N': 5}",{'WS': 5},{'WO': 5},"{'WS': 100.0, 'N': 0}","{'WO': 100.0, 'N': 0}"
17,"[16501, 16502, 16503, 16504, 16505, 16506]","[16507, 16508, 16509, 16510, 16511, 16512]",18,"{'WT': 6, 'N': 6}",{'WS': 6},{'WO': 6},"{'WS': 100.0, 'N': 0}","{'WO': 100.0, 'N': 0}"
18,"[16513, 16514, 16515, 16516]","[16517, 16518, 16519, 16520]",19,"{'WT': 4, 'B': 1, 'K': 1, 'T': 2}","{'WS': 4, 'B': 3}","{'WO': 4, 'B': 1}","{'WS': 100.0, 'B': 100, 'K': 0, 'T': 0}","{'WO': 100.0, 'B': 100.0, 'K': 0, 'T': 0}"
19,"[16521, 16522]","[16523, 16524]",20,"{'WT': 2, 'T': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'T': 0}","{'WO': 100.0, 'T': 0}"
20,"[16525, 16526]","[16527, 16528]",21,"{'WT': 2, 'T': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'T': 0}","{'WO': 100.0, 'T': 0}"
21,"[16529, 16530, 16531]","[16532, 16533, 16534]",22,"{'WT': 3, 'K': 1, 'N': 2}",{'WS': 3},{'WO': 3},"{'WS': 100.0, 'K': 0, 'N': 0}","{'WO': 100.0, 'K': 0, 'N': 0}"
22,"[16535, 16536, 16537]","[16538, 16539, 16540]",23,"{'WT': 3, 'K': 2, 'T': 1}",{'WS': 3},{'WO': 3},"{'WS': 100.0, 'K': 0, 'T': 0}","{'WO': 100.0, 'K': 0, 'T': 0}"
23,"[16541, 16542, 16543]","[16544, 16545, 16546]",24,"{'WT': 3, 'T': 3}",{'WS': 3},{'WO': 3},"{'WS': 100.0, 'T': 0}","{'WO': 100.0, 'T': 0}"
24,"[16547, 16548, 16549]","[16550, 16551, 16552]",25,"{'WT': 4, 'K': 4}",{'WS': 3},{'WO': 3},"{'WS': 75.0, 'K': 0}","{'WO': 75.0, 'K': 0}"
25,"[16553, 16554]","[16555, 16556]",26,"{'WT': 2, 'K': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'K': 0}","{'WO': 100.0, 'K': 0}"
26,"[16557, 16558]","[16559, 16560]",27,"{'WT': 4, 'K': 4}",{'WS': 2},{'WO': 2},"{'WS': 50.0, 'K': 0}","{'WO': 50.0, 'K': 0}"
27,"[16561, 16562, 16563, 16564]","[16565, 16566, 16567, 16568]",28,"{'WT': 4, 'K': 4}",{'WS': 4},{'WO': 4},"{'WS': 100.0, 'K': 0}","{'WO': 100.0, 'K': 0}"
28,"[16569, 16570, 16571]","[16572, 16573, 16574]",29,"{'WT': 4, 'K': 4}",{'WS': 3},{'WO': 3},"{'WS': 75.0, 'K': 0}","{'WO': 75.0, 'K': 0}"
29,"[16575, 16576, 16577]","[16578, 16579, 16580]",30,"{'WT': 3, 'T': 3}",{'WS': 3},{'WO': 3},"{'WS': 100.0, 'T': 0}","{'WO': 100.0, 'T': 0}"
30,"[16581, 16582, 16583, 16584]","[16585, 16586, 16587, 16588]",32,"{'WT': 4, 'K': 4}",{'WS': 4},{'WO': 4},"{'WS': 100.0, 'K': 0}","{'WO': 100.0, 'K': 0}"
31,"[16589, 16590, 16591]","[16592, 16593, 16594]",33,"{'WT': 4, 'K': 4}",{'WS': 3},{'WO': 3},"{'WS': 75.0, 'K': 0}","{'WO': 75.0, 'K': 0}"
32,"[16595, 16596]","[16597, 16598]",34,"{'WT': 4, 'K': 4}",{'WS': 2},{'WO': 2},"{'WS': 50.0, 'K': 0}","{'WO': 50.0, 'K': 0}"
33,"[16599, 16600]","[16601, 16602]",35,"{'WT': 2, 'K': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'K': 0}","{'WO': 100.0, 'K': 0}"
34,"[16603, 16604]","[16605, 16606]",36,"{'WT': 2, 'K': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'K': 0}","{'WO': 100.0, 'K': 0}"
35,"[16607, 16608]","[16609, 16610]",37,"{'WT': 4, 'K': 4}",{'WS': 2},{'WO': 2},"{'WS': 50.0, 'K': 0}","{'WO': 50.0, 'K': 0}"
36,"[16611, 16612, 16613]","[16614, 16615, 16616]",38,"{'WT': 3, 'M': 3}",{'WS': 3},{'WO': 3},"{'WS': 100.0, 'M': 0}","{'WO': 100.0, 'M': 0}"
37,"[16617, 16618, 16619]","[16620, 16621, 16622]",39,"{'WT': 2, 'M': 2}",{'WS': 3},{'WO': 3},"{'WS': 100, 'M': 0}","{'WO': 100, 'M': 0}"
38,"[16623, 16624]","[16625, 16626]",40,"{'WT': 2, 'M': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'M': 0}","{'WO': 100.0, 'M': 0}"
39,"[16627, 16628]","[16629, 16630]",41,"{'WT': 2, 'M': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'M': 0}","{'WO': 100.0, 'M': 0}"
40,"[16631, 16632]","[16633, 16634]",42,"{'WT': 2, 'M': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'M': 0}","{'WO': 100.0, 'M': 0}"
41,"[16635, 16636, 16637]","[16638, 16639, 16640]",43,"{'WT': 3, 'M': 3}",{'WS': 3},{'WO': 3},"{'WS': 100.0, 'M': 0}","{'WO': 100.0, 'M': 0}"
42,"[16641, 16642]","[16643, 16644]",44,"{'WT': 3, 'M': 3}",{'WS': 2},{'WO': 2},"{'WS': 66.66666666666666, 'M': 0}","{'WO': 66.66666666666666, 'M': 0}"
43,"[16645, 16646]","[16647, 16648]",45,"{'WT': 2, 'M': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'M': 0}","{'WO': 100.0, 'M': 0}"
44,"[16649, 16650]","[16651, 16652]",46,"{'WT': 3, 'M': 3}",{'WS': 2},{'WO': 2},"{'WS': 66.66666666666666, 'M': 0}","{'WO': 66.66666666666666, 'M': 0}"
45,"[16653, 16654]","[16655, 16656]",47,"{'WT': 2, 'M': 2}",{'WS': 2},{'WO': 2},"{'WS': 100.0, 'M': 0}","{'WO': 100.0, 'M': 0}"
46,"[16657, 16658, 16659, 16660, 16661]","[16662, 16663, 16664, 16665, 16666]",48,"{'WT': 5, 'M': 5}",{'WS': 5},{'WO': 5},"{'WS': 100.0, 'M': 0}","{'WO': 100.0, 'M': 0}"
47,"[16667, 16668, 16669, 16670, 16671, 16672, 16673]","[16674, 16675, 16676, 16677, 16678, 16679, 16680]",49,"{'WT': 7, 'B': 7}","{'WS': 7, 'B': 2}","{'WO': 7, 'B': 3}","{'WS': 100.0, 'B': 28.57142857142857}","{'WO': 100.0, 'B': 42.857142857142854}"
48,"[16681, 16682, 16683, 16684, 16685]","[16686, 16687, 16688, 16689, 16690]",50,"{'WT': 5, 'B': 1, 'M': 4}","{'WS': 5, 'B': 3, 'M': 1}","{'WO': 5, 'B': 3, 'M': 1}","{'WS': 100.0, 'B': 100, 'M': 25.0}","{'WO': 100.0, 'B': 100, 'M': 25.0}"
49,"[16691, 16692, 16693, 16694, 16695]","[16696, 16697, 16698, 16699, 16700]",51,"{'WT': 5, 'B': 5}","{'WS': 5, 'B': 2}","{'WO': 5, 'B': 4}","{'WS': 100.0, 'B': 40.0}","{'WO': 100.0, 'B': 80.0}"
50,"[16701, 16702, 16703, 16704, 16705]","[16706, 16707, 16708, 16709, 16710]",52,"{'WT': 5, 'B': 5}","{'WS': 5, 'B': 4}","{'WO': 5, 'B': 4}","{'WS': 100.0, 'B': 80.0}","{'WO': 100.0, 'B': 80.0}"
51,"[16711, 16712, 16713, 16714]","[16715, 16716, 16717, 16718]",53,"{'WT': 4, 'S': 4}","{'WS': 4, 'S': 3}","{'WO': 4, 'S': 2}","{'WS': 100.0, 'S': 75.0}","{'WO': 100.0, 'S': 50.0}"
52,"[16719, 16720]","[16721, 16722]",54,"{'WT': 3, 'S': 3}","{'WS': 2, 'S': 2}",{'WO': 2},"{'WS': 66.66666666666666, 'S': 66.66666666666666}","{'WO': 66.66666666666666, 'S': 0}"
53,"[16723, 16724, 16725]","[16726, 16727, 16728]",55,"{'WT': 4, 'S': 4}",{'WS': 3},"{'WO': 3, 'S': 2}",{'WS': 75.0},"{'WO': 75.0, 'S': 50.0}"
54,"[16729, 16730, 16731]","[16732, 16733, 16734]",59,"{'WT': 3, 'S': 3}","{'WS': 3, 'S': 1}","{'WO': 3, 'S': 1}","{'WS': 100.0, 'S': 33.33333333333333}","{'WO': 100.0, 'S': 33.33333333333333}"
55,"[16735, 16736, 16737]","[16738, 16739, 16740]",62,"{'WT': 3, 'J': 3}",{'WS': 3},{'WO': 3},"{'WS': 100.0, 'J': 0}","{'WO': 100.0, 'J': 0}"
56,"[16741, 16742]","[16743, 16744]",63,"{'WT': 3, 'J': 3}",{'WS': 2},{'WO': 2},"{'WS': 66.66666666666666, 'J': 0}","{'WO': 66.66666666666666, 'J': 0}"
57,"[16745, 16746, 16747]","[16748, 16749, 16750]",66,"{'WT': 3, 'S': 3}","{'WS': 3, 'S': 2}",{'WO': 3},"{'WS': 100.0, 'S': 66.66666666666666}","{'WO': 100.0, 'S': 0}"
58,"[16751, 16752, 16753]","[16754, 16755, 16756]",67,"{'WT': 3, 'M': 3}",{'WS': 3},{'WO': 3},"{'WS': 100.0, 'M': 0}","{'WO': 100.0, 'M': 0}"
59,"[16757, 16758, 16759]","[16760, 16761, 16762]",68,"{'WT': 3, 'S': 3}","{'WS': 3, 'S': 2}","{'WO': 3, 'S': 2}","{'WS': 100.0, 'S': 66.66666666666666}","{'WO': 100.0, 'S': 66.66666666666666}"
60,"[16763, 16764, 16765, 16766, 16767]","[16768, 16769, 16770, 16771, 16772]",69,"{'WT': 5, 'N': 5}",{'WS': 5},{'WO': 5},"{'WS': 100.0, 'N': 0}","{'WO': 100.0, 'N': 0}"
61,"[16773, 16774, 16775]","[16776, 16777, 16778]",70,"{'WT': 3, 'B': 3}","{'WS': 3, 'B': 3}",{'WO': 3},"{'WS': 100.0, 'B': 100.0}","{'WO': 100.0, 'B': 0}"
62,"[16779, 16780, 16781, 16782]","[16783, 16784, 16785, 16786]",71,"{'WT': 4, 'B': 4}","{'WS': 4, 'B': 3}","{'WO': 4, 'B': 4}","{'WS': 100.0, 'B': 75.0}","{'WO': 100.0, 'B': 100.0}"
63,"[16787, 16788, 16789, 16790, 16791]","[16792, 16793, 16794, 16795, 16796]",72,"{'WT': 5, 'B': 5}","{'WS': 5, 'B': 5}","{'WO': 5, 'B': 4}","{'WS': 100.0, 'B': 100.0}","{'WO': 100.0, 'B': 80.0}"
64,"[16797, 16798, 16799, 16800, 16801]","[16802, 16803, 16804, 16805, 16806]",73,"{'WT': 5, 'S': 5}","{'WS': 5, 'S': 3}","{'WO': 5, 'S': 1}","{'WS': 100.0, 'S': 60.0}","{'WO': 100.0, 'S': 20.0}"
65,"[16807, 16808, 16809]","[16810, 16811, 16812]",74,"{'WT': 3, 'M': 3}",{'WS': 3},{'WO': 3},"{'WS': 100.0, 'M': 0}","{'WO': 100.0, 'M': 0}"
66,"[16813, 16814, 16815]","[16816, 16817, 16818]",75,"{'WT': 3, 'M': 3}",{'WS': 3},{'WO': 3},"{'WS': 100.0, 'M': 0}","{'WO': 100.0, 'M': 0}"
67,"[16819, 16820, 16821]","[16822, 16823, 16824]",76,"{'WT': 3, 'M': 3}",{'WS': 3},{'WO': 3},"{'WS': 100.0, 'M': 0}","{'WO': 100.0, 'M': 0}"
68,"[16825, 16826, 16827]","[16828, 16829, 16830]",79,"{'WT': 3, 'M': 3}",{'WS': 3},{'WO': 3},"{'WS': 100.0, 'M': 0}","{'WO': 100.0, 'M': 0}"
69,"[16831, 16832, 16833]","[16834, 16835, 16836]",80,"{'WT': 3, 'M': 3}",{'WS': 3},{'WO': 3},"{'WS': 100.0, 'M': 0}","{'WO': 100.0, 'M': 0}"
