No,ID Ciri Kode Sendiri,ID Ciri OpenCV,ID File,Target,Hasil Kode Sendiri,Hasil OpenCV,Akurasi Kode Sendiri,Akurasi OpenCV
1,"[18721, 18722]","[18723, 18724]",1,"{'WT': 2, 'B': 1, 'N': 1}","{'WS': 2, 'B': 0, 'N': 0}",{'WO': 2},"{'WS': 100.0, 'B': 0.0, 'N': 0.0}","{'WO': 100.0, 'B': 0, 'N': 0}"
2,"[18725, 18726, 18727]","[18728, 18729, 18730]",2,"{'WT': 3, 'S': 3}","{'WS': 3, 'S': 0}",{'WO': 3},"{'WS': 100.0, 'S': 0.0}","{'WO': 100.0, 'S': 0}"
3,"[18731, 18732]","[18733, 18734]",3,"{'WT': 2, 'S': 2}","{'WS': 2, 'S': 0}",{'WO': 2},"{'WS': 100.0, 'S': 0.0}","{'WO': 100.0, 'S': 0}"
4,"[18735, 18736]","[18737, 18738]",4,"{'WT': 2, 'N': 2}","{'WS': 2, 'N': 0}",{'WO': 2},"{'WS': 100.0, 'N': 0.0}","{'WO': 100.0, 'N': 0}"
5,"[18739, 18740]","[18741, 18742]",5,"{'WT': 2, 'T': 2}","{'WS': 2, 'T': 2}","{'WO': 2, 'T': 2}","{'WS': 100.0, 'T': 100.0}","{'WO': 100.0, 'T': 100.0}"
6,"[18743, 18744]","[18745, 18746]",6,"{'WT': 2, 'K': 2}","{'WS': 2, 'K': 0}",{'WO': 2},"{'WS': 100.0, 'K': 0.0}","{'WO': 100.0, 'K': 0}"
7,"[18747, 18748, 18749, 18750]","[18751, 18752, 18753, 18754]",7,"{'WT': 4, 'M': 4}","{'WS': 4, 'M': 0}",{'WO': 4},"{'WS': 100.0, 'M': 0.0}","{'WO': 100.0, 'M': 0}"
8,"[18755, 18756]","[18757, 18758]",9,"{'WT': 2, 'M': 2}","{'WS': 2, 'M': 0}",{'WO': 2},"{'WS': 100.0, 'M': 0.0}","{'WO': 100.0, 'M': 0}"
9,"[18759, 18760, 18761]","[18762, 18763, 18764]",10,"{'WT': 3, 'B': 3}","{'WS': 3, 'B': 0}",{'WO': 3},"{'WS': 100.0, 'B': 0.0}","{'WO': 100.0, 'B': 0}"
10,"[18765, 18766, 18767]","[18768, 18769, 18770]",11,"{'WT': 3, 'B': 3}","{'WS': 3, 'B': 0}",{'WO': 3},"{'WS': 100.0, 'B': 0.0}","{'WO': 100.0, 'B': 0}"
11,"[18771, 18772, 18773, 18774]","[18775, 18776, 18777, 18778]",12,"{'WT': 4, 'N': 4}","{'WS': 4, 'N': 0}",{'WO': 4},"{'WS': 100.0, 'N': 0.0}","{'WO': 100.0, 'N': 0}"
12,"[18779, 18780, 18781, 18782, 18783, 18784, 18785]","[18786, 18787, 18788, 18789, 18790, 18791, 18792]",13,"{'WT': 7, 'N': 7}","{'WS': 7, 'N': 0}",{'WO': 7},"{'WS': 100.0, 'N': 0.0}","{'WO': 100.0, 'N': 0}"
13,"[18793, 18794, 18795, 18796, 18797, 18798]","[18799, 18800, 18801, 18802, 18803, 18804]",14,"{'WT': 6, 'N': 6}","{'WS': 6, 'N': 0}",{'WO': 6},"{'WS': 100.0, 'N': 0.0}","{'WO': 100.0, 'N': 0}"
14,"[18805, 18806, 18807, 18808]","[18809, 18810, 18811, 18812]",15,"{'WT': 4, 'N': 4}","{'WS': 4, 'N': 1}","{'WO': 4, 'N': 1}","{'WS': 100.0, 'N': 25.0}","{'WO': 100.0, 'N': 25.0}"
15,"[18813, 18814, 18815, 18816, 18817, 18818]","[18819, 18820, 18821, 18822, 18823, 18824]",16,"{'WT': 7, 'N': 7}","{'WS': 6, 'N': 0}",{'WO': 6},"{'WS': 85.71428571428571, 'N': 0.0}","{'WO': 85.71428571428571, 'N': 0}"
16,"[18825, 18826, 18827, 18828, 18829]","[18830, 18831, 18832, 18833, 18834]",17,"{'WT': 5, 'N': 5}","{'WS': 5, 'N': 0}",{'WO': 5},"{'WS': 100.0, 'N': 0.0}","{'WO': 100.0, 'N': 0}"
17,"[18835, 18836, 18837, 18838, 18839, 18840]","[18841, 18842, 18843, 18844, 18845, 18846]",18,"{'WT': 6, 'N': 6}","{'WS': 6, 'N': 1}","{'WO': 6, 'N': 1}","{'WS': 100.0, 'N': 16.666666666666664}","{'WO': 100.0, 'N': 16.666666666666664}"
18,"[18847, 18848, 18849, 18850]","[18851, 18852, 18853, 18854]",19,"{'WT': 4, 'B': 1, 'K': 1, 'T': 2}","{'WS': 4, 'B': 0, 'K': 0, 'T': 4}","{'WO': 4, 'T': 4}","{'WS': 100.0, 'B': 0.0, 'K': 0.0, 'T': 100}","{'WO': 100.0, 'T': 100, 'B': 0, 'K': 0}"
19,"[18855, 18856]","[18857, 18858]",20,"{'WT': 2, 'T': 2}","{'WS': 2, 'T': 2}","{'WO': 2, 'T': 2}","{'WS': 100.0, 'T': 100.0}","{'WO': 100.0, 'T': 100.0}"
20,"[18859, 18860]","[18861, 18862]",21,"{'WT': 2, 'T': 2}","{'WS': 2, 'T': 2}","{'WO': 2, 'T': 2}","{'WS': 100.0, 'T': 100.0}","{'WO': 100.0, 'T': 100.0}"
